gridid,name,value,forest_px_sum,dist_px_sum,rate
996,area,122.08192920353981,6898604,117738.34354967948,0.01706698102249085
996,np,5085,6898604,117738.34354967948,0.01706698102249085
996,ai,96.61855815135672,6898604,117738.34354967948,0.01706698102249085
997,area,72.36084838963079,2046530.125,23682.581931089742,0.01157206612391779
997,np,2546,2046530.125,23682.581931089742,0.01157206612391779
997,ai,95.58838410873803,2046530.125,23682.581931089742,0.01157206612391779
999,area,273.3881707317073,747899.75,9024.068889911356,0.01206588034012761
999,np,246,747899.75,9024.068889911356,0.01206588034012761
999,ai,98.07474981460926,747899.75,9024.068889911356,0.01206588034012761
1000,area,117.06683098591549,3325185.75,37899.008713942305,0.01139756138854567
1000,np,2556,3325185.75,37899.008713942305,0.01139756138854567
1000,ai,97.0995142910152,3325185.75,37899.008713942305,0.01139756138854567
1001,area,116.73972418083783,6254654,84884.75575921475,0.01357145507316867
1001,np,4822,6254654,84884.75575921475,0.01357145507316867
1001,ai,97.21271261072584,6254654,84884.75575921475,0.01357145507316867
1002,area,87.91732781168265,6723980.5,89683.34104567308,0.0133378347908167
1002,np,6882,6723980.5,89683.34104567308,0.0133378347908167
1002,ai,96.27771812304246,6723980.5,89683.34104567308,0.0133378347908167
1003,area,132.26600578871202,1014855.1875,16203.6671486879,0.01596648206391308
1003,np,691,1014855.1875,16203.6671486879,0.01596648206391308
1003,ai,96.96225040685026,1014855.1875,16203.6671486879,0.01596648206391308
1024,area,1.3039285714285713,1209,5.743589743589744,0.0047506945769973
1024,np,84,1209,5.743589743589744,0.0047506945769973
1024,ai,69.20473773265653,1209,5.743589743589744,0.0047506945769973
1025,area,0.9245454545454546,113,0,0
1025,np,11,113,0,0
1025,ai,65.68627450980392,113,0,0
1029,area,33.224876127556854,2906226.75,23027.639466897035,0.00792355223724268
1029,np,7871,2906226.75,23027.639466897035,0.00792355223724268
1029,ai,93.43091155459979,2906226.75,23027.639466897035,0.00792355223724268
1030,area,32.10127858627874,1029521.1875,6960.030515230619,0.00676045388840588
1030,np,2886,1029521.1875,6960.030515230619,0.00676045388840588
1030,ai,93.81484802103532,1029521.1875,6960.030515230619,0.00676045388840588
1031,area,125.45028938906752,7802932,63984.864903914626,0.00820010540959662
1031,np,5598,7802932,63984.864903914626,0.00820010540959662
1031,ai,97.18379539434461,7802932,63984.864903914626,0.00820010540959662
1032,area,120.99030804037591,7726665,94005.4334435096,0.0121663658827592
1032,np,5746,7726665,94005.4334435096,0.0121663658827592
1032,ai,97.58266213118361,7726665,94005.4334435096,0.0121663658827592
1033,area,348.1227041895895,9142541,127419.20753205128,0.01393695773768488
1033,np,2363,9142541,127419.20753205128,0.01393695773768488
1033,ai,98.41724396765002,9142541,127419.20753205128,0.01393695773768488
1034,area,476.365202020202,9431136,149595.8629306891,0.01586191344613089
1034,np,1782,9431136,149595.8629306891,0.01586191344613089
1034,ai,98.4195923208706,9431136,149595.8629306891,0.01586191344613089
1035,area,124.97637062512645,6865626,104029.70883569962,0.01515225397300983
1035,np,4943,6865626,104029.70883569962,0.01515225397300983
1035,ai,97.10483781640957,6865626,104029.70883569962,0.01515225397300983
1036,area,95.74504537205081,5275552,77417.53871193911,0.01467477502106682
1036,np,4959,5275552,77417.53871193911,0.01467477502106682
1036,ai,96.56668414480241,5275552,77417.53871193911,0.01467477502106682
1037,area,185.1132558139535,88777.140625,1522.6907004331931,0.01715183311507103
1037,np,43,88777.140625,1522.6907004331931,0.01715183311507103
1037,ai,96.55229138186294,88777.140625,1522.6907004331931,0.01715183311507103
1038,area,24.774545454545454,3033.74267578125,48.94910188515981,0.01613488918355754
1038,np,11,3033.74267578125,48.94910188515981,0.01613488918355754
1038,ai,94.21362489486964,3033.74267578125,48.94910188515981,0.01613488918355754
1039,area,143.58159645232817,2159301.75,22066.923189603367,0.01021947172950856
1039,np,1353,2159301.75,22066.923189603367,0.01021947172950856
1039,ai,97.26215154513788,2159301.75,22066.923189603367,0.01021947172950856
1040,area,103.21132499999999,6421023.5,85339.87204527244,0.01329069610869239
1040,np,5600,6421023.5,85339.87204527244,0.01329069610869239
1040,ai,97.00959739331866,6421023.5,85339.87204527244,0.01329069610869239
1041,area,131.8482275200829,5653853.5,82695.73853165064,0.01462643815083829
1041,np,3859,5653853.5,82695.73853165064,0.01462643815083829
1041,ai,97.52138610977457,5653853.5,82695.73853165064,0.01462643815083829
1042,area,17.009999999999998,196.8076629638672,3.35351403344136,0.01703955010154786
1042,np,1,196.8076629638672,3.35351403344136,0.01703955010154786
1042,ai,94.57142857142857,196.8076629638672,3.35351403344136,0.01703955010154786
1064,area,11.475565800502933,152091.5,4310.74358974359,0.02834309339932599
1064,np,1193,152091.5,4310.74358974359,0.02834309339932599
1064,ai,88.29786883463119,152091.5,4310.74358974359,0.02834309339932599
1068,area,28.10177897278314,2844588.75,26832.940817808492,0.00943297719848202
1068,np,9112,2844588.75,26832.940817808492,0.00943297719848202
1068,ai,92.51234938254845,2844588.75,26832.940817808492,0.00943297719848202
1069,area,25.928806970509505,1504590.375,5079.692616780599,0.00337612994286275
1069,np,5222,1504590.375,5079.692616780599,0.00337612994286275
1069,ai,92.57996168225543,1504590.375,5079.692616780599,0.00337612994286275
1070,area,77.53348076419785,6581925,37485.52654872796,0.00569522237775847
1070,np,7642,6581925,37485.52654872796,0.00569522237775847
1070,ai,95.760549336199,6581925,37485.52654872796,0.00569522237775847
1071,area,134.61475427940366,8125193,95597.61588541669,0.01176558093886713
1071,np,5433,8125193,95597.61588541669,0.01176558093886713
1071,ai,97.27437783694572,8125193,95597.61588541669,0.01176558093886713
1072,area,289.70734504474643,9710838,125218.14348582731,0.01289467947934332
1072,np,3017,9710838,125218.14348582731,0.01289467947934332
1072,ai,97.53226998869808,9710838,125218.14348582731,0.01289467947934332
1073,area,284.65746284134116,9146259,138725.08553685897,0.01516741276809009
1073,np,2893,9146259,138725.08553685897,0.01516741276809009
1073,ai,98.36738973127203,9146259,138725.08553685897,0.01516741276809009
1074,area,302.3138652631579,7976326,126313.88301282052,0.01583609835064671
1074,np,2375,7976326,126313.88301282052,0.01583609835064671
1074,ai,98.40090834966321,7976326,126313.88301282052,0.01583609835064671
1075,area,449.71480891719744,1567656.5,24935.64476913061,0.01590631925369531
1075,np,314,1567656.5,24935.64476913061,0.01590631925369531
1075,ai,98.10802346289465,1567656.5,24935.64476913061,0.01590631925369531
1076,area,92.5340366972477,671925.3125,10852.323455028043,0.01615108592151459
1076,np,654,671925.3125,10852.323455028043,0.01615108592151459
1076,ai,94.52965223755143,671925.3125,10852.323455028043,0.01615108592151459
1077,area,83.13187765706188,3911427.75,63331.78170072115,0.01619147425149835
1077,np,4234,3911427.75,63331.78170072115,0.01619147425149835
1077,ai,95.13521015422438,3911427.75,63331.78170072115,0.01619147425149835
1078,area,101.57632653061225,5474759,79811.04772636217,0.01457800201367077
1078,np,4851,5474759,79811.04772636217,0.01457800201367077
1078,ai,95.82267117200085,5474759,79811.04772636217,0.01457800201367077
1079,area,49.16574214517876,1511313.375,18090.306678185098,0.0119699242906423
1079,np,2769,1511313.375,18090.306678185098,0.0119699242906423
1079,ai,95.06452803823649,1511313.375,18090.306678185098,0.0119699242906423
1080,area,87.33500860585198,562967.1875,5984.252187875601,0.01062984188199352
1080,np,581,562967.1875,5984.252187875601,0.01062984188199352
1080,ai,97.00476871298032,562967.1875,5984.252187875601,0.01062984188199352
